id,code,name,city,state_id/id,country_id/id
data_zip_ID12630,12630,12630,Cipedak,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12630,12630,12630,Lenteng Agung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12640,12640,12640,Srengseng Sawah,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12710,12710,12710,Kuningan Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12720,12720,12720,Pela Mampang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12730,12730,12730,Bangka,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12740,12740,12740,Kalibata,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12750,12750,12750,Rawa Jati,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12760,12760,12760,Duren Tiga,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12770,12770,12770,Cikoko,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12770,12770,12770,Pengadegan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12780,12780,12780,Pancoran,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12790,12790,12790,Mampang Prapatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12790,12790,12790,Tegal Parang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12810,12810,12810,Tebet Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12820,12820,12820,Tebet Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12830,12830,12830,Kebon Baru,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12840,12840,12840,Bukit Duri,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12850,12850,12850,Manggarai,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12860,12860,12860,Manggarai Selatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12870,12870,12870,Menteng Dalam,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12910,12910,12910,Setiabudi,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12920,12920,12920,Karet,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12930,12930,12930,Karet Semanggi,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12940,12940,12940,Karet Kuningan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12950,12950,12950,Kuningan Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12960,12960,12960,Menteng Atas,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12970,12970,12970,Pasar Manggis,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID12980,12980,12980,Guntur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13110,13110,13110,Pisangan Baru,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13120,13120,13120,Utan Kayu Selatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13120,13120,13120,Utan Kayu Utara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13130,13130,13130,Kayu Manis,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13140,13140,13140,Pal Meriam,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13150,13150,13150,Kebon Manggis,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13210,13210,13210,Kayu Putih,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13220,13220,13220,Jati,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13220,13220,13220,Rawamangun,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13230,13230,13230,Pisangan Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13240,13240,13240,Cipinang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13250,13250,13250,Jatinegara Kaum,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13260,13260,13260,Pulo Gadung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13310,13310,13310,Bali Mester,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13320,13320,13320,Kampung Melayu,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13330,13330,13330,Bidaracina,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13340,13340,13340,Cipinang Cempedak,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13350,13350,13350,Rawa Bunga,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13410,13410,13410,Cipinang Besar Selatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13410,13410,13410,Cipinang Besar Utara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13420,13420,13420,Cipinang Muara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13430,13430,13430,Pondok Bambu,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13440,13440,13440,Duren Sawit,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13450,13450,13450,Pondok Kelapa,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13460,13460,13460,Malaka Jaya,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13460,13460,13460,Malaka Sari,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13460,13460,13460,Pondok Kopi,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13470,13470,13470,Klender,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13510,13510,13510,Kramat Jati,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13520,13520,13520,Batuampar,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13530,13530,13530,Balekambang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13540,13540,13540,Kampung Tengah,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13550,13550,13550,Dukuh,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13560,13560,13560,Pinang Ranti,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13570,13570,13570,Makasar,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13610,13610,13610,Halim Perdana Kusumah,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13620,13620,13620,Cipinang Melayu,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13630,13630,13630,Cawang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13640,13640,13640,Cililitan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13650,13650,13650,Kebon Pala,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13710,13710,13710,Pekayon,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13720,13720,13720,Cibubur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13730,13730,13730,Kelapa Dua Wetan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13740,13740,13740,Ciracas,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13750,13750,13750,Susukan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13760,13760,13760,Gedong,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13770,13770,13770,Cijantung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13780,13780,13780,Baru,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13790,13790,13790,Kalisari,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13810,13810,13810,Lubang Buaya,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13820,13820,13820,Ceger,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13830,13830,13830,Rambutan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13840,13840,13840,Cipayung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13850,13850,13850,Munjul,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13860,13860,13860,Pondok Rangon,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13870,13870,13870,Cilangkap,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13880,13880,13880,Setu,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13890,13890,13890,Bambu Apus,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13910,13910,13910,Cakung Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13910,13910,13910,Cakung Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13920,13920,13920,Rawa Terate,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13930,13930,13930,Jatinegara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13940,13940,13940,Penggilingan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13950,13950,13950,Pulo Gebang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID13960,13960,13960,Ujung Menteng,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14110,14110,14110,Kali Baru,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14120,14120,14120,Cilincing,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14130,14130,14130,Semper Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14130,14130,14130,Semper Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14140,14140,14140,Rorotan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14140,14140,14140,Sukapura,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14150,14150,14150,Marunda,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14210,14210,14210,"Koja (Utara, Selatan)",l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14230,14230,14230,Rawa Badak Selatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14230,14230,14230,Rawa Badak Utara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14240,14240,14240,Kelapa Gading Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14240,14240,14240,Kelapa Gading Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14250,14250,14250,Pegangsaan Dua,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14260,14260,14260,Tugu Selatan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14260,14260,14260,Tugu Utara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14270,14270,14270,Lagoa,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14310,14310,14310,Tanjung Priok,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14320,14320,14320,Kebon Bawang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14330,14330,14330,Sungai Bambu,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14340,14340,14340,Papanggo,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14350,14350,14350,Sunter Agung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14360,14360,14360,Sunter Jaya,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14370,14370,14370,Warakas,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14410,14410,14410,Pademangan Timur,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14420,14420,14420,Pademangan Barat,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14430,14430,14430,Ancol,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14440,14440,14440,Penjaringan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14450,14450,14450,Pejagalan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14450,14450,14450,Pluit,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14460,14460,14460,Kapuk Muara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14470,14470,14470,Kamal Muara,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14510,14510,14510,Pulau Untung Jawa,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14520,14520,14520,Pulau Pari,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14520,14520,14520,Pulau Tidung,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14530,14530,14530,Pulau Panggang,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14540,14540,14540,Pulau Harapan,l10n_id_state.data_state_indonesiaJK,base.id
data_zip_ID14540,14540,14540,Pulau Kelapa,l10n_id_state.data_state_indonesiaJK,base.id
