id,name,city,country:id,bic
bankID_ABNAIDJABDG,ABN AMRO BANK N.V.  (BANDUNG BRANCH) ,BANDUNG ,base.id,ABNAIDJABDG
bankID_ABNAIDJAMBH,ABN AMRO BANK N.V.  (MAIN BRANCH) ,JAKARTA ,base.id,ABNAIDJAMBH
bankID_ABNAIDJAXXX,ABN AMRO BANK N.V.  ,JAKARTA ,base.id,ABNAIDJAXXX
bankID_ABNAIDJAMDN,ABN AMRO BANK N.V.  (MEDAN BRANCH) ,MEDAN ,base.id,ABNAIDJAMDN
bankID_ABNAIDJASBA,ABN AMRO BANK N.V.  (SURABAYA BRANCH) ,SURABAYA ,base.id,ABNAIDJASBA
bankID_ANZBIDJXXXX,"ANZ PANIN BANK, P.T.  ",JAKARTA ,base.id,ANZBIDJXXXX
bankID_BKKBIDJAXXX,BANGKOK BANK PUBLIC COMPANY LIMITED  ,JAKARTA ,base.id,BKKBIDJAXXX
bankID_ARTGIDJAXXX,"BANK ARTHA GRAHA INTERNASIONAL TBK, PT  ",JAKARTA ,base.id,ARTGIDJAXXX
bankID_BNPAIDJAXXX,"BANK BNP PARIBAS INDONESIA, PT  ",JAKARTA ,base.id,BNPAIDJAXXX
bankID_BBUKIDJAXXX,BANK BUKOPIN  ,JAKARTA ,base.id,BBUKIDJAXXX
bankID_BUMIIDJAXXX,"BANK BUMIPUTERA INDONESIA, PT  ",JAKARTA ,base.id,BUMIIDJAXXX
bankID_CENAIDJAXXX,BANK CENTRAL ASIA  ,JAKARTA ,base.id,CENAIDJAXXX
bankID_CTCBIDJAXXX,"BANK CHINATRUST INDONESIA, PT  ",JAKARTA ,base.id,CTCBIDJAXXX
bankID_BICNIDJAXXX,BANK COMMONWEALTH  ,JAKARTA ,base.id,BICNIDJAXXX
bankID_DBSBIDJAIBD,"BANK DBS INDONESIA, PT  (JAKARTA BRANCH) ",JAKARTA ,base.id,DBSBIDJAIBD
bankID_DBSBIDJAXXX,"BANK DBS INDONESIA, PT  ",JAKARTA ,base.id,DBSBIDJAXXX
bankID_DBSBIDJASBY,"BANK DBS INDONESIA, PT  (SYRABAYA BRANCH) ",SURABAYA ,base.id,DBSBIDJASBY
bankID_BDKIIDJAXXX,"BANK DKI, PT.  ",JAKARTA ,base.id,BDKIIDJAXXX
bankID_EKONIDJAXXX,BANK EKONOMI RAHARJA PT.  ,JAKARTA ,base.id,EKONIDJAXXX
bankID_BEXIIDJAXXX,BANK EKSPOR INDONESIA (PERSERO) PT  ,JAKARTA ,base.id,BEXIIDJAXXX
bankID_FINBIDJAXXX,"BANK FINCONESIA,PT  ",JAKARTA ,base.id,FINBIDJAXXX
bankID_GNESIDJAXXX,BANK GANESHA  ,JAKARTA ,base.id,GNESIDJAXXX
bankID_INDOIDJAXXX,BANK INDONESIA  ,JAKARTA ,base.id,INDOIDJAXXX
bankID_IBBKIDJADEX,BANK INTERNASIONAL INDONESIA  (EXPEND CONTROL DEPT.) ,JAKARTA ,base.id,IBBKIDJADEX
bankID_IBBKIDJA138,BANK INTERNASIONAL INDONESIA  (JUANDA BRANCH) ,JAKARTA ,base.id,IBBKIDJA138
bankID_IBBKIDJA001,BANK INTERNASIONAL INDONESIA  (KALIBESAR BRANCH) ,JAKARTA ,base.id,IBBKIDJA001
bankID_IBBKIDJA008,BANK INTERNASIONAL INDONESIA  (PANGLIMA POLIM BRANCH) ,JAKARTA ,base.id,IBBKIDJA008
bankID_IBBKIDJATRS,BANK INTERNASIONAL INDONESIA  (SETTLEMENT DEPT.) ,JAKARTA ,base.id,IBBKIDJATRS
bankID_IBBKIDJA003,BANK INTERNASIONAL INDONESIA  (THAMRIN BRANCH) ,JAKARTA ,base.id,IBBKIDJA003
bankID_IBBKIDJAXXX,BANK INTERNASIONAL INDONESIA  ,JAKARTA ,base.id,IBBKIDJAXXX
bankID_AWANIDJAXXX,BANK KESAWAN PT.  ,JAKARTA ,base.id,AWANIDJAXXX
bankID_BMRIIDJA852,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER BANDUNG) ",BANDUNG ,base.id,BMRIIDJA852
bankID_BMRIIDJA856,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER BANJARMASIN) ",BANJARMASIN ,base.id,BMRIIDJA856
bankID_BMRIIDJA107,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER JAKARTA) ",JAKARTA ,base.id,BMRIIDJA107
bankID_BMRIIDJACUS,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-CUSTODIAL SERVICES) ",JAKARTA ,base.id,BMRIIDJACUS
bankID_BMRIIDJAEXM,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-EXPORT/IMPORT DEPT) ",JAKARTA ,base.id,BMRIIDJAEXM
bankID_BMRIIDJASTL,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-SETTLEMENT DEPT) ",JAKARTA ,base.id,BMRIIDJASTL
bankID_BMRIIDJAXXX,"BANK MANDIRI (PERSERO), PT  ",JAKARTA ,base.id,BMRIIDJAXXX
bankID_BMRIIDJA853,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER MEDAN) ",MEDAN ,base.id,BMRIIDJA853
